ValuationDate,Currency,VolatilitySurfaceName,Expiry,Tenor,Strike,Volatility
6/26/2018,USD,USD_SwnVol,10Y,15Y,50,0.006866377
6/26/2018,USD,USD_SwnVol,10Y,15Y,75,0.006881296
6/26/2018,USD,USD_SwnVol,10Y,15Y,100,0.006927487
6/26/2018,USD,USD_SwnVol,10Y,15Y,125,0.007001683
6/26/2018,USD,USD_SwnVol,10Y,15Y,150,0.00710031
6/26/2018,USD,USD_SwnVol,10Y,15Y,200,0.007356726
6/26/2018,USD,USD_SwnVol,10Y,15Y,250,0.007671371
6/26/2018,USD,USD_SwnVol,10Y,15Y,300,0.008024919
6/26/2018,USD,USD_SwnVol,10Y,15Y,400,0.008799172
6/26/2018,USD,USD_SwnVol,10Y,15Y,500,0.009616689
6/26/2018,USD,USD_SwnVol,10Y,15Y,1500,0.017734425
6/26/2018,USD,USD_SwnVol,10Y,1Y,-1500,0.00789662
6/26/2018,USD,USD_SwnVol,10Y,1Y,-500,0.007931369
6/26/2018,USD,USD_SwnVol,10Y,1Y,-400,0.007945189
6/26/2018,USD,USD_SwnVol,10Y,1Y,-300,0.007966182
6/26/2018,USD,USD_SwnVol,10Y,1Y,-250,0.007894765
6/26/2018,USD,USD_SwnVol,10Y,1Y,-200,0.007760792
6/26/2018,USD,USD_SwnVol,10Y,1Y,-150,0.007653609
6/26/2018,USD,USD_SwnVol,10Y,1Y,-125,0.007619381
6/26/2018,USD,USD_SwnVol,10Y,1Y,-100,0.007602123
6/26/2018,USD,USD_SwnVol,10Y,1Y,-75,0.007604503
6/26/2018,USD,USD_SwnVol,10Y,1Y,-50,0.00762882
6/26/2018,USD,USD_SwnVol,10Y,1Y,-37.5,0.007649798
6/26/2018,USD,USD_SwnVol,10Y,1Y,-25,0.007676908
6/26/2018,USD,USD_SwnVol,10Y,1Y,-12.5,0.007710293
6/26/2018,USD,USD_SwnVol,10Y,1Y,0,0.007750063
6/26/2018,USD,USD_SwnVol,10Y,1Y,12.5,0.007763029
6/26/2018,USD,USD_SwnVol,10Y,1Y,25,0.007782227
6/26/2018,USD,USD_SwnVol,10Y,1Y,37.5,0.007807408
6/26/2018,USD,USD_SwnVol,10Y,1Y,50,0.007838304
6/26/2018,USD,USD_SwnVol,10Y,1Y,75,0.007916096
6/26/2018,USD,USD_SwnVol,10Y,1Y,100,0.008013251
6/26/2018,USD,USD_SwnVol,10Y,1Y,125,0.008127388
6/26/2018,USD,USD_SwnVol,10Y,1Y,150,0.008256209
6/26/2018,USD,USD_SwnVol,10Y,1Y,200,0.008549568
6/26/2018,USD,USD_SwnVol,10Y,1Y,250,0.008878824
6/26/2018,USD,USD_SwnVol,10Y,1Y,300,0.009232969
6/26/2018,USD,USD_SwnVol,10Y,1Y,400,0.009986311
6/26/2018,USD,USD_SwnVol,10Y,1Y,500,0.010769891
6/26/2018,USD,USD_SwnVol,10Y,1Y,1500,0.018472294
6/26/2018,USD,USD_SwnVol,10Y,20Y,-1500,0.00702382
6/26/2018,USD,USD_SwnVol,10Y,20Y,-500,0.00708049
6/26/2018,USD,USD_SwnVol,10Y,20Y,-400,0.007104325
6/26/2018,USD,USD_SwnVol,10Y,20Y,-300,0.007141639
6/26/2018,USD,USD_SwnVol,10Y,20Y,-250,0.00713935
6/26/2018,USD,USD_SwnVol,10Y,20Y,-200,0.007017143
6/26/2018,USD,USD_SwnVol,10Y,20Y,-150,0.006863182
6/26/2018,USD,USD_SwnVol,10Y,20Y,-125,0.006790943
6/26/2018,USD,USD_SwnVol,10Y,20Y,-100,0.006729002
6/26/2018,USD,USD_SwnVol,10Y,20Y,-75,0.006682833
6/26/2018,USD,USD_SwnVol,10Y,20Y,-50,0.006658238
6/26/2018,USD,USD_SwnVol,10Y,20Y,-37.5,0.006655931
6/26/2018,USD,USD_SwnVol,10Y,20Y,-25,0.006661323
6/26/2018,USD,USD_SwnVol,10Y,20Y,-12.5,0.00667519
6/26/2018,USD,USD_SwnVol,10Y,20Y,0,0.006698298
6/26/2018,USD,USD_SwnVol,10Y,20Y,12.5,0.006660157
6/26/2018,USD,USD_SwnVol,10Y,20Y,25,0.006631848
6/26/2018,USD,USD_SwnVol,10Y,20Y,37.5,0.00661317
6/26/2018,USD,USD_SwnVol,10Y,20Y,50,0.006603867
6/26/2018,USD,USD_SwnVol,10Y,20Y,75,0.006612071
6/26/2018,USD,USD_SwnVol,10Y,20Y,100,0.006653338
6/26/2018,USD,USD_SwnVol,10Y,20Y,125,0.006723941
6/26/2018,USD,USD_SwnVol,10Y,20Y,150,0.006819891
6/26/2018,USD,USD_SwnVol,10Y,20Y,200,0.007072405
6/26/2018,USD,USD_SwnVol,10Y,20Y,250,0.00738367
6/26/2018,USD,USD_SwnVol,10Y,20Y,300,0.007733508
6/26/2018,USD,USD_SwnVol,10Y,20Y,400,0.008498462
6/26/2018,USD,USD_SwnVol,10Y,20Y,500,0.009304432
6/26/2018,USD,USD_SwnVol,10Y,20Y,1500,0.01727516
6/26/2018,USD,USD_SwnVol,10Y,25Y,-1500,0.00696551
6/26/2018,USD,USD_SwnVol,10Y,25Y,-500,0.007027954
6/26/2018,USD,USD_SwnVol,10Y,25Y,-400,0.00705432
6/26/2018,USD,USD_SwnVol,10Y,25Y,-300,0.007095687
6/26/2018,USD,USD_SwnVol,10Y,25Y,-250,0.007100181
6/26/2018,USD,USD_SwnVol,10Y,25Y,-200,0.006979904
6/26/2018,USD,USD_SwnVol,10Y,25Y,-150,0.006824109
6/26/2018,USD,USD_SwnVol,10Y,25Y,-125,0.006750606
6/26/2018,USD,USD_SwnVol,10Y,25Y,-100,0.006687532
6/26/2018,USD,USD_SwnVol,10Y,25Y,-75,0.006640681
6/26/2018,USD,USD_SwnVol,10Y,25Y,-50,0.006616268
6/26/2018,USD,USD_SwnVol,10Y,25Y,-37.5,0.006614538
6/26/2018,USD,USD_SwnVol,10Y,25Y,-25,0.00662093
6/26/2018,USD,USD_SwnVol,10Y,25Y,-12.5,0.006636308
6/26/2018,USD,USD_SwnVol,10Y,25Y,0,0.006661529
6/26/2018,USD,USD_SwnVol,10Y,25Y,12.5,0.006617354
6/26/2018,USD,USD_SwnVol,10Y,25Y,25,0.006583676
6/26/2018,USD,USD_SwnVol,10Y,25Y,37.5,0.006560262
6/26/2018,USD,USD_SwnVol,10Y,25Y,50,0.006546818
6/26/2018,USD,USD_SwnVol,10Y,25Y,75,0.006548373
6/26/2018,USD,USD_SwnVol,10Y,25Y,100,0.00658488
6/26/2018,USD,USD_SwnVol,10Y,25Y,125,0.006652257
6/26/2018,USD,USD_SwnVol,10Y,25Y,150,0.006746171
6/26/2018,USD,USD_SwnVol,10Y,25Y,200,0.006997014
6/26/2018,USD,USD_SwnVol,10Y,25Y,250,0.007308412
6/26/2018,USD,USD_SwnVol,10Y,25Y,300,0.007659166
6/26/2018,USD,USD_SwnVol,10Y,25Y,400,0.008426545
6/26/2018,USD,USD_SwnVol,10Y,25Y,500,0.009234776
6/26/2018,USD,USD_SwnVol,10Y,25Y,1500,0.017215982
6/26/2018,USD,USD_SwnVol,10Y,2Y,-1500,0.007909051
6/26/2018,USD,USD_SwnVol,10Y,2Y,-500,0.007946084
6/26/2018,USD,USD_SwnVol,10Y,2Y,-400,0.007960802
6/26/2018,USD,USD_SwnVol,10Y,2Y,-300,0.00798315
6/26/2018,USD,USD_SwnVol,10Y,2Y,-250,0.00790796
6/26/2018,USD,USD_SwnVol,10Y,2Y,-200,0.00776741
6/26/2018,USD,USD_SwnVol,10Y,2Y,-150,0.007651698
6/26/2018,USD,USD_SwnVol,10Y,2Y,-125,0.007612413
6/26/2018,USD,USD_SwnVol,10Y,2Y,-100,0.007589606
6/26/2018,USD,USD_SwnVol,10Y,2Y,-75,0.007586029
6/26/2018,USD,USD_SwnVol,10Y,2Y,-50,0.007604117
6/26/2018,USD,USD_SwnVol,10Y,2Y,-37.5,0.007621935
6/26/2018,USD,USD_SwnVol,10Y,2Y,-25,0.007645891
6/26/2018,USD,USD_SwnVol,10Y,2Y,-12.5,0.007676158
6/26/2018,USD,USD_SwnVol,10Y,2Y,0,0.007712878
6/26/2018,USD,USD_SwnVol,10Y,2Y,12.5,0.007720826
6/26/2018,USD,USD_SwnVol,10Y,2Y,25,0.007735117
6/26/2018,USD,USD_SwnVol,10Y,2Y,37.5,0.007755511
6/26/2018,USD,USD_SwnVol,10Y,2Y,50,0.007781749
6/26/2018,USD,USD_SwnVol,10Y,2Y,75,0.007850642
6/26/2018,USD,USD_SwnVol,10Y,2Y,100,0.007939478
6/26/2018,USD,USD_SwnVol,10Y,2Y,125,0.008045884
6/26/2018,USD,USD_SwnVol,10Y,2Y,150,0.008167546
6/26/2018,USD,USD_SwnVol,10Y,2Y,200,0.008448155
6/26/2018,USD,USD_SwnVol,10Y,2Y,250,0.008766433
6/26/2018,USD,USD_SwnVol,10Y,2Y,300,0.009110986
6/26/2018,USD,USD_SwnVol,10Y,2Y,400,0.009848073
6/26/2018,USD,USD_SwnVol,10Y,2Y,500,0.01061792
6/26/2018,USD,USD_SwnVol,10Y,2Y,1500,0.018222901
6/26/2018,USD,USD_SwnVol,10Y,30Y,-1500,0.006947341
6/26/2018,USD,USD_SwnVol,10Y,30Y,-500,0.007015926
6/26/2018,USD,USD_SwnVol,10Y,30Y,-400,0.007044921
6/26/2018,USD,USD_SwnVol,10Y,30Y,-300,0.007090446
6/26/2018,USD,USD_SwnVol,10Y,30Y,-250,0.00710137
6/26/2018,USD,USD_SwnVol,10Y,30Y,-200,0.006982587
6/26/2018,USD,USD_SwnVol,10Y,30Y,-150,0.0068242
6/26/2018,USD,USD_SwnVol,10Y,30Y,-125,0.006748999
6/26/2018,USD,USD_SwnVol,10Y,30Y,-100,0.006684322
6/26/2018,USD,USD_SwnVol,10Y,30Y,-75,0.006636277
6/26/2018,USD,USD_SwnVol,10Y,30Y,-50,0.006611485
