Currency,CurveName,Instrument,ValuationDate,Tenor,Value,Type,Category,CreationDate
USD,USD_OIS,OIS_FF_FUT:FUTUREAug-18,6/26/2018,8/31/2018,98.52,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREAug-19,6/26/2018,8/31/2019,97.965,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREDec-18,6/26/2018,12/31/2018,98.215,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREFeb-19,6/26/2018,2/28/2019,98.19,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREJan-19,6/26/2018,1/31/2019,98.195,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREJul-18,6/26/2018,7/31/2018,98.58,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREJul-19,6/26/2018,7/31/2019,97.985,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREJun-18,6/26/2018,6/29/2018,98.5875,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREJun-19,6/26/2018,6/30/2019,97.99,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREMar-19,6/26/2018,3/29/2019,98.08,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREMay-19,6/26/2018,5/31/2019,98.04,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTURENov-18,6/26/2018,11/30/2018,98.28,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTUREOct-18,6/26/2018,10/31/2018,98.365,Future,OIS,8/20/2018
USD,USD_OIS,OIS_FF_FUT:FUTURESep-18,6/26/2018,9/28/2018,98.37,Future,OIS,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS25Y,6/26/2018,25Y,-0.000775,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS2Y,6/26/2018,2Y,-0.0009125,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS30Y,6/26/2018,30Y,-0.001125,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS3Y,6/26/2018,3Y,-0.000825,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS4Y,6/26/2018,4Y,-0.0014375,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS5Y,6/26/2018,5Y,-0.0013625,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS6M,6/26/2018,6M,-0.00125,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:BASIS7Y,6/26/2018,7Y,-0.0009375,Basis,Basis,8/20/2018
USD,USD_6M_BASIS,USD_6M_BASIS:CASH2D,6/26/2018,2D,0.0177411,Cash,Basis,8/20/2018
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
