Currency,CurveName,Instrument,ValuationDate,Tenor,Coupon,Value,Category,
USD,USD_TCURVE,Bond,6/26/2018,2/15/2027,0.0225,97.3672,Bond,
USD,USD_TCURVE,Bond,6/26/2018,2/15/2047,0.03,97.1875,Bond,
USD,USD_TCURVE,Bond,6/26/2018,2/28/2019,0.01125,99.5586,Bond,
USD,USD_TCURVE,Bond,6/26/2018,2/28/2022,0.01875,99.0273,Bond,
USD,USD_TCURVE,Bond,6/26/2018,2/29/2024,0.02125,98.3828,Bond,
USD,USD_TCURVE,Bond,6/26/2018,3/15/2020,0.01625,99.8945,Bond,
USD,USD_TCURVE,Bond,6/26/2018,9/7/2018,0,99.0034,Bond,
